Channel	Time	E_I	Err	Res
1	4.06	1.79E+00	1.05E-02	2.22E+01
2	5.07	1.02E+00	5.24E-03	2.23E+01
3	6.07	6.15E-01	1.79E-03	2.31E+01
4	7.08	5.38E-01	1.77E-03	1.96E+01
5	8.52	4.26E-01	7.70E-04	1.68E+01
6	10.53	3.36E-01	7.35E-04	1.38E+01
7	12.55	2.79E-01	7.73E-04	1.17E+01
8	14.56	2.34E-01	7.63E-04	1.02E+01
9	17.44	1.89E-01	3.84E-04	8.75E+00
10	21.46	1.46E-01	4.01E-04	7.34E+00
11	25.49	1.18E-01	3.82E-04	6.36E+00
12	29.5	9.68E-02	3.79E-04	5.69E+00
13	35.28	7.60E-02	1.74E-04	4.96E+00
14	43.3	5.65E-02	1.67E-04	4.30E+00
15	51.4	4.43E-02	1.77E-04	3.80E+00
16	59.41	3.64E-02	1.77E-04	3.40E+00
17	70.95	2.78E-02	8.82E-05	3.03E+00
18	87.07	2.18E-02	9.54E-05	2.53E+00
19	103.16	1.75E-02	9.28E-05	2.21E+00
20	119.22	1.43E-02	8.92E-05	1.99E+00
21	142.33	1.13E-02	3.82E-05	1.73E+00
22	174.54	8.42E-03	4.00E-05	1.50E+00
23	206.71	6.24E-03	3.95E-05	1.38E+00
24	238.83	4.91E-03	4.14E-05	1.27E+00
25	285.04	3.45E-03	2.36E-05	1.20E+00
26	350	2.27E-03	2.33E-05	1.12E+00
27	413.83	1.54E-03	2.38E-05	1.10E+00
28	478.06	1.14E-03	2.45E-05	1.06E+00
29	570.47	7.26E-04	8.32E-06	1.07E+00
30	699.41	4.21E-04	7.85E-06	1.09E+00
31	828.06	2.87E-04	8.26E-06	1.06E+00
32	956.53	1.88E-04	8.90E-06	1.11E+00
33	1140.9	1.08E-04	6.57E-06	1.20E+00
34	1398.8	7.03E-05	6.64E-06	1.13E+00
35	1656.1	3.40E-05	6.56E-06	1.39E+00
36	1913.1	3.31E-05	6.45E-06	1.11E+00
37	2281.9	1.52E-05	1.62E-06	1.39E+00
38	2797.6	7.72E-06	1.57E-06	1.56E+00
39	3312.2	3.94E-06	1.58E-06	1.84E+00
40	3826.1	3.59E-06	1.45E-06	1.54E+00
41	4563.8	1.60E-06	1.44E-06	1.96E+00
42	5595.3	1.09E-06	1.47E-06	1.81E+00
43	6624.4	1.05E-06	1.53E-06	1.40E+00
44	7652.2	8.47E-07	1.57E-06	1.27E+00
